,0
19,http://www.prefeitura.sp.gov.br/cidade/secretarias/upload/transportes/SPTrans/2014/janeiro/passageiros/Passag-20140120.xls
20,http://www.prefeitura.sp.gov.br/cidade/secretarias/upload/transportes/SPTrans/2014/janeiro/passageiros/Passag-20140121.xls
21,http://www.prefeitura.sp.gov.br/cidade/secretarias/upload/transportes/SPTrans/2014/janeiro/passageiros/Passag-20140122.xls
22,http://www.prefeitura.sp.gov.br/cidade/secretarias/upload/transportes/SPTrans/2014/janeiro/passageiros/Passag-20140123.xls
23,http://www.prefeitura.sp.gov.br/cidade/secretarias/upload/transportes/SPTrans/2014/janeiro/passageiros/Passag-20140124.xls
24,http://www.prefeitura.sp.gov.br/cidade/secretarias/upload/transportes/SPTrans/2014/janeiro/passageiros/Passag-20140125.xls
25,http://www.prefeitura.sp.gov.br/cidade/secretarias/upload/transportes/SPTrans/2014/janeiro/passageiros/Passag-20140126.xls
26,http://www.prefeitura.sp.gov.br/cidade/secretarias/upload/transportes/SPTrans/2014/janeiro/passageiros/Passag-20140127.xls
27,http://www.prefeitura.sp.gov.br/cidade/secretarias/upload/transportes/SPTrans/2014/janeiro/passageiros/Passag-20140128.xls
28,http://www.prefeitura.sp.gov.br/cidade/secretarias/upload/transportes/SPTrans/2014/janeiro/passageiros/Passag-20140129.xls
29,http://www.prefeitura.sp.gov.br/cidade/secretarias/upload/transportes/SPTrans/2014/janeiro/passageiros/Passag-20140130.xls
30,http://www.prefeitura.sp.gov.br/cidade/secretarias/upload/transportes/SPTrans/2014/janeiro/passageiros/Passag-20140131.xls
31,http://www.prefeitura.sp.gov.br/cidade/secretarias/upload/transportes/SPTrans/2014/janeiro/passageiros/Pass_Transp_Jan14.xls
32,http://www.prefeitura.sp.gov.br/cidade/secretarias/upload/transportes/SPTrans/2014/fevereiro/passageiros/Passag-20140201.xls
33,http://www.prefeitura.sp.gov.br/cidade/secretarias/upload/transportes/SPTrans/2014/fevereiro/passageiros/Passag-20140202.xls
34,http://www.prefeitura.sp.gov.br/cidade/secretarias/upload/transportes/SPTrans/2014/fevereiro/passageiros/Passag-20140203.xls
35,http://www.prefeitura.sp.gov.br/cidade/secretarias/upload/transportes/SPTrans/2014/fevereiro/passageiros/Passag-20140204.xls
36,http://www.prefeitura.sp.gov.br/cidade/secretarias/upload/transportes/SPTrans/2014/fevereiro/passageiros/Passag-20140205.xls
37,http://www.prefeitura.sp.gov.br/cidade/secretarias/upload/transportes/SPTrans/2014/fevereiro/passageiros/Passag-20140206.xls
38,http://www.prefeitura.sp.gov.br/cidade/secretarias/upload/transportes/SPTrans/2014/fevereiro/passageiros/Passag-20140207.xls
39,http://www.prefeitura.sp.gov.br/cidade/secretarias/upload/transportes/SPTrans/2014/fevereiro/passageiros/Passag-20140208.xls
40,http://www.prefeitura.sp.gov.br/cidade/secretarias/upload/transportes/SPTrans/2014/fevereiro/passageiros/Passag-20140209.xls
41,http://www.prefeitura.sp.gov.br/cidade/secretarias/upload/transportes/SPTrans/2014/fevereiro/passageiros/Passag-20140210.xls
42,http://www.prefeitura.sp.gov.br/cidade/secretarias/upload/transportes/SPTrans/2014/fevereiro/passageiros/Passag-20140211.xls
43,http://www.prefeitura.sp.gov.br/cidade/secretarias/upload/transportes/SPTrans/2014/fevereiro/passageiros/Passag-20140212.xls
44,http://www.prefeitura.sp.gov.br/cidade/secretarias/upload/transportes/SPTrans/2014/fevereiro/passageiros/Passag-20140213.xls
45,http://www.prefeitura.sp.gov.br/cidade/secretarias/upload/transportes/SPTrans/2014/fevereiro/passageiros/Passag-20140214.xls
46,http://www.prefeitura.sp.gov.br/cidade/secretarias/upload/transportes/SPTrans/2014/fevereiro/passageiros/Passag-20140215.xls
47,http://www.prefeitura.sp.gov.br/cidade/secretarias/upload/transportes/SPTrans/2014/fevereiro/passageiros/Passag-20140216.xls
48,http://www.prefeitura.sp.gov.br/cidade/secretarias/upload/transportes/SPTrans/2014/fevereiro/passageiros/Passag-20140217.xls
49,http://www.prefeitura.sp.gov.br/cidade/secretarias/upload/transportes/SPTrans/2014/fevereiro/passageiros/Passag-20140218.xls
50,http://www.prefeitura.sp.gov.br/cidade/secretarias/upload/transportes/SPTrans/2014/fevereiro/passageiros/Passag-20140219.xls
51,http://www.prefeitura.sp.gov.br/cidade/secretarias/upload/transportes/SPTrans/2014/fevereiro/passageiros/Passag-20140220.xls
52,http://www.prefeitura.sp.gov.br/cidade/secretarias/upload/transportes/SPTrans/2014/fevereiro/passageiros/Passag-20140221.xls
53,http://www.prefeitura.sp.gov.br/cidade/secretarias/upload/transportes/SPTrans/2014/fevereiro/passageiros/Passag-20140222.xls
54,http://www.prefeitura.sp.gov.br/cidade/secretarias/upload/transportes/SPTrans/2014/fevereiro/passageiros/Passag-20140223.xls
55,http://www.prefeitura.sp.gov.br/cidade/secretarias/upload/transportes/SPTrans/2014/fevereiro/passageiros/Passag-20140224.xls
56,http://www.prefeitura.sp.gov.br/cidade/secretarias/upload/transportes/SPTrans/2014/fevereiro/passageiros/Passag-20140225.xls
57,http://www.prefeitura.sp.gov.br/cidade/secretarias/upload/transportes/SPTrans/2014/fevereiro/passageiros/Passag-20140226.xls
58,http://www.prefeitura.sp.gov.br/cidade/secretarias/upload/transportes/SPTrans/2014/fevereiro/passageiros/Passag-20140227.xls
59,http://www.prefeitura.sp.gov.br/cidade/secretarias/upload/transportes/SPTrans/2014/fevereiro/passageiros/Passag-20140228.xls
60,http://www.prefeitura.sp.gov.br/cidade/secretarias/upload/transportes/SPTrans/2014/fevereiro/passageiros/Pass_Transp_Fev14.xls
61,http://www.prefeitura.sp.gov.br/cidade/secretarias/upload/transportes/SPTrans/2014/marco/passageiros/Passag-20140301.xls
62,http://www.prefeitura.sp.gov.br/cidade/secretarias/upload/transportes/SPTrans/2014/marco/passageiros/Passag-20140302.xls
63,http://www.prefeitura.sp.gov.br/cidade/secretarias/upload/transportes/SPTrans/2014/marco/passageiros/Passag-20140303.xls
64,http://www.prefeitura.sp.gov.br/cidade/secretarias/upload/transportes/SPTrans/2014/marco/passageiros/Passag-20140304.xls
65,http://www.prefeitura.sp.gov.br/cidade/secretarias/upload/transportes/SPTrans/2014/marco/passageiros/Passag-20140305.xls
66,http://www.prefeitura.sp.gov.br/cidade/secretarias/upload/transportes/SPTrans/2014/marco/passageiros/Passag-20140306.xls
67,http://www.prefeitura.sp.gov.br/cidade/secretarias/upload/transportes/SPTrans/2014/marco/passageiros/Passag-20140307.xls
68,http://www.prefeitura.sp.gov.br/cidade/secretarias/upload/transportes/SPTrans/2014/marco/passageiros/Passag-20140308.xls
69,http://www.prefeitura.sp.gov.br/cidade/secretarias/upload/transportes/SPTrans/2014/marco/passageiros/Passag-20140309.xls
70,http://www.prefeitura.sp.gov.br/cidade/secretarias/upload/transportes/SPTrans/2014/marco/passageiros/Passag-20140310.xls
71,http://www.prefeitura.sp.gov.br/cidade/secretarias/upload/transportes/SPTrans/2014/marco/passageiros/Passag-20140311.xls
72,http://www.prefeitura.sp.gov.br/cidade/secretarias/upload/transportes/SPTrans/2014/marco/passageiros/Passag-20140312.xls
73,http://www.prefeitura.sp.gov.br/cidade/secretarias/upload/transportes/SPTrans/2014/marco/passageiros/Passag-20140313.xls
74,http://www.prefeitura.sp.gov.br/cidade/secretarias/upload/transportes/SPTrans/2014/marco/passageiros/Passag-20140314.xls
75,http://www.prefeitura.sp.gov.br/cidade/secretarias/upload/transportes/SPTrans/2014/marco/passageiros/Passag-20140315.xls
76,http://www.prefeitura.sp.gov.br/cidade/secretarias/upload/transportes/SPTrans/2014/marco/passageiros/Passag-20140316.xls
77,http://www.prefeitura.sp.gov.br/cidade/secretarias/upload/transportes/SPTrans/2014/marco/passageiros/Passag-20140317.xls
78,http://www.prefeitura.sp.gov.br/cidade/secretarias/upload/transportes/SPTrans/2014/marco/passageiros/Passag-20140318.xls
79,http://www.prefeitura.sp.gov.br/cidade/secretarias/upload/transportes/SPTrans/2014/marco/passageiros/Passag-20140319.xls
80,http://www.prefeitura.sp.gov.br/cidade/secretarias/upload/transportes/SPTrans/2014/marco/passageiros/Passag-20140320.xls
81,http://www.prefeitura.sp.gov.br/cidade/secretarias/upload/transportes/SPTrans/2014/marco/passageiros/Passag-20140321.xls
82,http://www.prefeitura.sp.gov.br/cidade/secretarias/upload/transportes/SPTrans/2014/marco/passageiros/Passag-20140322.xls
83,http://www.prefeitura.sp.gov.br/cidade/secretarias/upload/transportes/SPTrans/2014/marco/passageiros/Passag-20140323.xls
84,http://www.prefeitura.sp.gov.br/cidade/secretarias/upload/transportes/SPTrans/2014/marco/passageiros/Passag-20140324.xls
85,http://www.prefeitura.sp.gov.br/cidade/secretarias/upload/transportes/SPTrans/2014/marco/passageiros/Passag-20140325.xls
86,http://www.prefeitura.sp.gov.br/cidade/secretarias/upload/transportes/SPTrans/2014/marco/passageiros/Passag-20140326.xls
87,http://www.prefeitura.sp.gov.br/cidade/secretarias/upload/transportes/SPTrans/2014/marco/passageiros/Passag-20140327.xls
88,http://www.prefeitura.sp.gov.br/cidade/secretarias/upload/transportes/SPTrans/2014/marco/passageiros/Passag-20140328.xls
89,http://www.prefeitura.sp.gov.br/cidade/secretarias/upload/transportes/SPTrans/2014/marco/passageiros/Passag-20140329.xls
90,http://www.prefeitura.sp.gov.br/cidade/secretarias/upload/transportes/SPTrans/2014/marco/passageiros/Passag-20140330.xls
91,http://www.prefeitura.sp.gov.br/cidade/secretarias/upload/transportes/SPTrans/2014/marco/passageiros/Passag-20140331.xls
92,http://www.prefeitura.sp.gov.br/cidade/secretarias/upload/transportes/SPTrans/2014/marco/passageiros/Pass_Transp_Mar14.xls
93,http://www.prefeitura.sp.gov.br/cidade/secretarias/upload/transportes/SPTrans/2014/abril/passageiros/Passag-20140401.xls
94,http://www.prefeitura.sp.gov.br/cidade/secretarias/upload/transportes/SPTrans/2014/abril/passageiros/Passag-20140402.xls
95,http://www.prefeitura.sp.gov.br/cidade/secretarias/upload/transportes/SPTrans/2014/abril/passageiros/Passag-20140403.xls
96,http://www.prefeitura.sp.gov.br/cidade/secretarias/upload/transportes/SPTrans/2014/abril/passageiros/Passag-20140404.xls
97,http://www.prefeitura.sp.gov.br/cidade/secretarias/upload/transportes/SPTrans/2014/abril/passageiros/Passag-20140405.xls
98,http://www.prefeitura.sp.gov.br/cidade/secretarias/upload/transportes/SPTrans/2014/abril/passageiros/Passag-20140406.xls
99,http://www.prefeitura.sp.gov.br/cidade/secretarias/upload/transportes/SPTrans/2014/abril/passageiros/Passag-20140407.xls
100,http://www.prefeitura.sp.gov.br/cidade/secretarias/upload/transportes/SPTrans/2014/abril/passageiros/Passag-20140408.xls
101,http://www.prefeitura.sp.gov.br/cidade/secretarias/upload/transportes/SPTrans/2014/abril/passageiros/Passag-20140409.xls
102,http://www.prefeitura.sp.gov.br/cidade/secretarias/upload/transportes/SPTrans/2014/abril/passageiros/Passag-20140410.xls
103,http://www.prefeitura.sp.gov.br/cidade/secretarias/upload/transportes/SPTrans/2014/abril/passageiros/Passag-20140411.xls
104,http://www.prefeitura.sp.gov.br/cidade/secretarias/upload/transportes/SPTrans/2014/abril/passageiros/Passag-20140412.xls
105,http://www.prefeitura.sp.gov.br/cidade/secretarias/upload/transportes/SPTrans/2014/abril/passageiros/Passag-20140413.xls
106,http://www.prefeitura.sp.gov.br/cidade/secretarias/upload/transportes/SPTrans/2014/abril/passageiros/Passag-20140414.xls
107,http://www.prefeitura.sp.gov.br/cidade/secretarias/upload/transportes/SPTrans/2014/abril/passageiros/Passag-20140415.xls
108,http://www.prefeitura.sp.gov.br/cidade/secretarias/upload/transportes/SPTrans/2014/abril/passageiros/Passag-20140416.xls
109,http://www.prefeitura.sp.gov.br/cidade/secretarias/upload/transportes/SPTrans/2014/abril/passageiros/Passag-20140417.xls
110,http://www.prefeitura.sp.gov.br/cidade/secretarias/upload/transportes/SPTrans/2014/abril/passageiros/Passag-20140418.xls
111,http://www.prefeitura.sp.gov.br/cidade/secretarias/upload/transportes/SPTrans/2014/abril/passageiros/Passag-20140419.xls
112,http://www.prefeitura.sp.gov.br/cidade/secretarias/upload/transportes/SPTrans/2014/abril/passageiros/Passag-20140420.xls
113,http://www.prefeitura.sp.gov.br/cidade/secretarias/upload/transportes/SPTrans/2014/abril/passageiros/Passag-20140421.xls
114,http://www.prefeitura.sp.gov.br/cidade/secretarias/upload/transportes/SPTrans/2014/abril/passageiros/Passag-20140422.xls
115,http://www.prefeitura.sp.gov.br/cidade/secretarias/upload/transportes/SPTrans/2014/abril/passageiros/Passag-20140423.xls
116,http://www.prefeitura.sp.gov.br/cidade/secretarias/upload/transportes/SPTrans/2014/abril/passageiros/Passag-20140424.xls
117,http://www.prefeitura.sp.gov.br/cidade/secretarias/upload/transportes/SPTrans/2014/abril/passageiros/Passag-20140425.xls
118,http://www.prefeitura.sp.gov.br/cidade/secretarias/upload/transportes/SPTrans/2014/abril/passageiros/Passag-20140426.xls
119,http://www.prefeitura.sp.gov.br/cidade/secretarias/upload/transportes/SPTrans/2014/abril/passageiros/Passag-20140427.xls
120,http://www.prefeitura.sp.gov.br/cidade/secretarias/upload/transportes/SPTrans/2014/abril/passageiros/Passag-20140428.xls
121,http://www.prefeitura.sp.gov.br/cidade/secretarias/upload/transportes/SPTrans/2014/abril/passageiros/Passag-20140429.xls
122,http://www.prefeitura.sp.gov.br/cidade/secretarias/upload/transportes/SPTrans/2014/abril/passageiros/Passag-20140430.xls
123,http://www.prefeitura.sp.gov.br/cidade/secretarias/upload/transportes/SPTrans/2014/abril/passageiros/Pass_Transp_Abr14.xlsx
124,http://www.prefeitura.sp.gov.br/cidade/secretarias/upload/transportes/SPTrans/2014/maio/passageiros/Passag-20140501.xls
125,http://www.prefeitura.sp.gov.br/cidade/secretarias/upload/transportes/SPTrans/2014/maio/passageiros/Passag-20140502.xls
126,http://www.prefeitura.sp.gov.br/cidade/secretarias/upload/transportes/SPTrans/2014/maio/passageiros/Passag-20140503.xls
127,http://www.prefeitura.sp.gov.br/cidade/secretarias/upload/transportes/SPTrans/2014/maio/passageiros/Passag-20140504.xls
128,http://www.prefeitura.sp.gov.br/cidade/secretarias/upload/transportes/SPTrans/2014/maio/passageiros/Passag-20140505.xls
129,http://www.prefeitura.sp.gov.br/cidade/secretarias/upload/transportes/SPTrans/2014/maio/passageiros/Passag-20140506.xls
130,http://www.prefeitura.sp.gov.br/cidade/secretarias/upload/transportes/SPTrans/2014/maio/passageiros/Passag-20140507.xls
131,http://www.prefeitura.sp.gov.br/cidade/secretarias/upload/transportes/SPTrans/2014/maio/passageiros/Passag-20140508.xls
132,http://www.prefeitura.sp.gov.br/cidade/secretarias/upload/transportes/SPTrans/2014/maio/passageiros/Passag-20140509.xls
133,http://www.prefeitura.sp.gov.br/cidade/secretarias/upload/transportes/SPTrans/2014/maio/passageiros/Passag-20140510.xls
134,http://www.prefeitura.sp.gov.br/cidade/secretarias/upload/transportes/SPTrans/2014/maio/passageiros/Passag-20140511.xls
135,http://www.prefeitura.sp.gov.br/cidade/secretarias/upload/transportes/SPTrans/2014/maio/passageiros/Passag-20140512.xls
136,http://www.prefeitura.sp.gov.br/cidade/secretarias/upload/transportes/SPTrans/2014/maio/passageiros/Passag-20140513.xls
137,http://www.prefeitura.sp.gov.br/cidade/secretarias/upload/transportes/SPTrans/2014/maio/passageiros/Passag-20140514.xls
138,http://www.prefeitura.sp.gov.br/cidade/secretarias/upload/transportes/SPTrans/2014/maio/passageiros/Passag-20140515.xls
139,http://www.prefeitura.sp.gov.br/cidade/secretarias/upload/transportes/SPTrans/2014/maio/passageiros/Passag-20140516.xls
140,http://www.prefeitura.sp.gov.br/cidade/secretarias/upload/transportes/SPTrans/2014/maio/passageiros/Passag-20140517.xls
141,http://www.prefeitura.sp.gov.br/cidade/secretarias/upload/transportes/SPTrans/2014/maio/passageiros/Passag-20140518.xls
142,http://www.prefeitura.sp.gov.br/cidade/secretarias/upload/transportes/SPTrans/2014/maio/passageiros/Passag-20140519.xls
143,http://www.prefeitura.sp.gov.br/cidade/secretarias/upload/transportes/SPTrans/2014/maio/passageiros/Passag-20140520.xls
144,http://www.prefeitura.sp.gov.br/cidade/secretarias/upload/transportes/SPTrans/2014/maio/passageiros/Passag-20140521.xls
145,http://www.prefeitura.sp.gov.br/cidade/secretarias/upload/transportes/SPTrans/2014/maio/passageiros/Passag-20140522.xls
146,http://www.prefeitura.sp.gov.br/cidade/secretarias/upload/transportes/SPTrans/2014/maio/passageiros/Passag-20140523.xls
147,http://www.prefeitura.sp.gov.br/cidade/secretarias/upload/transportes/SPTrans/2014/maio/passageiros/Passag-20140524.xls
148,http://www.prefeitura.sp.gov.br/cidade/secretarias/upload/transportes/SPTrans/2014/maio/passageiros/Passag-20140525.xls
149,http://www.prefeitura.sp.gov.br/cidade/secretarias/upload/transportes/SPTrans/2014/maio/passageiros/Passag-20140526.xls
150,http://www.prefeitura.sp.gov.br/cidade/secretarias/upload/transportes/SPTrans/2014/maio/passageiros/Passag-20140527.xls
151,http://www.prefeitura.sp.gov.br/cidade/secretarias/upload/transportes/SPTrans/2014/maio/passageiros/Passag-20140528.xls
152,http://www.prefeitura.sp.gov.br/cidade/secretarias/upload/transportes/SPTrans/2014/maio/passageiros/Passag-20140529.xls
153,http://www.prefeitura.sp.gov.br/cidade/secretarias/upload/transportes/SPTrans/2014/maio/passageiros/Passag-20140530.xls
154,http://www.prefeitura.sp.gov.br/cidade/secretarias/upload/transportes/SPTrans/2014/maio/passageiros/Passag-20140531.xls
155,http://www.prefeitura.sp.gov.br/cidade/secretarias/upload/transportes/SPTrans/2014/maio/passageiros/Pass_Transp_Mai14.xls
156,http://www.prefeitura.sp.gov.br/cidade/secretarias/upload/transportes/SPTrans/2014/junho/passageiros/Passag-20140601.xls
157,http://www.prefeitura.sp.gov.br/cidade/secretarias/upload/transportes/SPTrans/2014/junho/passageiros/Passag-20140602.xls
158,http://www.prefeitura.sp.gov.br/cidade/secretarias/upload/transportes/SPTrans/2014/junho/passageiros/Passag-20140603.xls
159,http://www.prefeitura.sp.gov.br/cidade/secretarias/upload/transportes/SPTrans/2014/junho/passageiros/Passag-20140604.xls
160,http://www.prefeitura.sp.gov.br/cidade/secretarias/upload/transportes/SPTrans/2014/junho/passageiros/Passag-20140605.xls
161,http://www.prefeitura.sp.gov.br/cidade/secretarias/upload/transportes/SPTrans/2014/junho/passageiros/Passag-20140606.xls
162,http://www.prefeitura.sp.gov.br/cidade/secretarias/upload/transportes/SPTrans/2014/junho/passageiros/Passag-20140607.xls
163,http://www.prefeitura.sp.gov.br/cidade/secretarias/upload/transportes/SPTrans/2014/junho/passageiros/Passag-20140608.xls
164,http://www.prefeitura.sp.gov.br/cidade/secretarias/upload/transportes/SPTrans/2014/junho/passageiros/Passag-20140609.xls
165,http://www.prefeitura.sp.gov.br/cidade/secretarias/upload/transportes/SPTrans/2014/junho/passageiros/Passag-20140610.xls
166,http://www.prefeitura.sp.gov.br/cidade/secretarias/upload/transportes/SPTrans/2014/junho/passageiros/Passag-20140611.xls
167,http://www.prefeitura.sp.gov.br/cidade/secretarias/upload/transportes/SPTrans/2014/junho/passageiros/Passag-20140612.xls
168,http://www.prefeitura.sp.gov.br/cidade/secretarias/upload/transportes/SPTrans/2014/junho/passageiros/Passag-20140613.xls
169,http://www.prefeitura.sp.gov.br/cidade/secretarias/upload/transportes/SPTrans/2014/junho/passageiros/Passag-20140614.xls
170,http://www.prefeitura.sp.gov.br/cidade/secretarias/upload/transportes/SPTrans/2014/junho/passageiros/Passag-20140615.xls
171,http://www.prefeitura.sp.gov.br/cidade/secretarias/upload/transportes/SPTrans/2014/junho/passageiros/Passag-20140616.xls
172,http://www.prefeitura.sp.gov.br/cidade/secretarias/upload/transportes/SPTrans/2014/junho/passageiros/Passag-20140617.xls
173,http://www.prefeitura.sp.gov.br/cidade/secretarias/upload/transportes/SPTrans/2014/junho/passageiros/Passag-20140618.xls
174,http://www.prefeitura.sp.gov.br/cidade/secretarias/upload/transportes/SPTrans/2014/junho/passageiros/Passag-20140619.xls
175,http://www.prefeitura.sp.gov.br/cidade/secretarias/upload/transportes/SPTrans/2014/junho/passageiros/Passag-20140620.xls
176,http://www.prefeitura.sp.gov.br/cidade/secretarias/upload/transportes/SPTrans/2014/junho/passageiros/Passag-20140621.xls
177,http://www.prefeitura.sp.gov.br/cidade/secretarias/upload/transportes/SPTrans/2014/junho/passageiros/Passag-20140622.xls
178,http://www.prefeitura.sp.gov.br/cidade/secretarias/upload/transportes/SPTrans/2014/junho/passageiros/Passag-20140623.xls
179,http://www.prefeitura.sp.gov.br/cidade/secretarias/upload/transportes/SPTrans/2014/junho/passageiros/Passag-20140624.xls
180,http://www.prefeitura.sp.gov.br/cidade/secretarias/upload/transportes/SPTrans/2014/junho/passageiros/Passag-20140625.xls
181,http://www.prefeitura.sp.gov.br/cidade/secretarias/upload/transportes/SPTrans/2014/junho/passageiros/Passag-20140626.xls
182,http://www.prefeitura.sp.gov.br/cidade/secretarias/upload/transportes/SPTrans/2014/junho/passageiros/Passag-20140627.xls
183,http://www.prefeitura.sp.gov.br/cidade/secretarias/upload/transportes/SPTrans/2014/junho/passageiros/Passag-20140628.xls
184,http://www.prefeitura.sp.gov.br/cidade/secretarias/upload/transportes/SPTrans/2014/junho/passageiros/Passag-20140629.xls
185,http://www.prefeitura.sp.gov.br/cidade/secretarias/upload/transportes/SPTrans/2014/junho/passageiros/Passag-20140630.xls
186,http://www.prefeitura.sp.gov.br/cidade/secretarias/upload/transportes/SPTrans/2014/junho/passageiros/Pass_Transp_Jun14.xls
187,http://www.prefeitura.sp.gov.br/cidade/secretarias/upload/transportes/SPTrans/2014/julho/passageiros/Passag-20140701.xls
188,http://www.prefeitura.sp.gov.br/cidade/secretarias/upload/transportes/SPTrans/2014/julho/passageiros/Passag-20140702.xls
189,http://www.prefeitura.sp.gov.br/cidade/secretarias/upload/transportes/SPTrans/2014/julho/passageiros/Passag-20140703.xls
190,http://www.prefeitura.sp.gov.br/cidade/secretarias/upload/transportes/SPTrans/2014/julho/passageiros/Passag-20140704.xls
191,http://www.prefeitura.sp.gov.br/cidade/secretarias/upload/transportes/SPTrans/2014/julho/passageiros/Passag-20140705.xls
192,http://www.prefeitura.sp.gov.br/cidade/secretarias/upload/transportes/SPTrans/2014/julho/passageiros/Passag-20140706.xls
193,http://www.prefeitura.sp.gov.br/cidade/secretarias/upload/transportes/SPTrans/2014/julho/passageiros/Passag-20140707.xls
194,http://www.prefeitura.sp.gov.br/cidade/secretarias/upload/transportes/SPTrans/2014/julho/passageiros/Passag-20140708.xls
195,http://www.prefeitura.sp.gov.br/cidade/secretarias/upload/transportes/SPTrans/2014/julho/passageiros/Passag-20140709.xls
196,http://www.prefeitura.sp.gov.br/cidade/secretarias/upload/transportes/SPTrans/2014/julho/passageiros/Passag-20140710.xls
197,http://www.prefeitura.sp.gov.br/cidade/secretarias/upload/transportes/SPTrans/2014/julho/passageiros/Passag-20140711.xls
198,http://www.prefeitura.sp.gov.br/cidade/secretarias/upload/transportes/SPTrans/2014/julho/passageiros/Passag-20140712.xls
199,http://www.prefeitura.sp.gov.br/cidade/secretarias/upload/transportes/SPTrans/2014/julho/passageiros/Passag-20140713.xls
200,http://www.prefeitura.sp.gov.br/cidade/secretarias/upload/transportes/SPTrans/2014/julho/passageiros/Passag-20140714.xls
201,http://www.prefeitura.sp.gov.br/cidade/secretarias/upload/transportes/SPTrans/2014/julho/passageiros/Passag-20140715.xls
202,http://www.prefeitura.sp.gov.br/cidade/secretarias/upload/transportes/SPTrans/2014/julho/passageiros/Passag-20140716.xls
203,http://www.prefeitura.sp.gov.br/cidade/secretarias/upload/transportes/SPTrans/2014/julho/passageiros/Passag-20140717.xls
204,http://www.prefeitura.sp.gov.br/cidade/secretarias/upload/transportes/SPTrans/2014/julho/passageiros/Passag-20140718.xls
205,http://www.prefeitura.sp.gov.br/cidade/secretarias/upload/transportes/SPTrans/2014/julho/passageiros/Passag-20140719.xls
206,http://www.prefeitura.sp.gov.br/cidade/secretarias/upload/transportes/SPTrans/2014/julho/passageiros/Passag-20140720.xls
207,http://www.prefeitura.sp.gov.br/cidade/secretarias/upload/transportes/SPTrans/2014/julho/passageiros/Passag-20140721.xls
208,http://www.prefeitura.sp.gov.br/cidade/secretarias/upload/transportes/SPTrans/2014/julho/passageiros/Passag-20140722.xls
209,http://www.prefeitura.sp.gov.br/cidade/secretarias/upload/transportes/SPTrans/2014/julho/passageiros/Passag-20140723.xls
210,http://www.prefeitura.sp.gov.br/cidade/secretarias/upload/transportes/SPTrans/2014/julho/passageiros/Passag-20140724.xls
211,http://www.prefeitura.sp.gov.br/cidade/secretarias/upload/transportes/SPTrans/2014/julho/passageiros/Passag-20140725.xls
212,http://www.prefeitura.sp.gov.br/cidade/secretarias/upload/transportes/SPTrans/2014/julho/passageiros/Passag-20140726.xls
213,http://www.prefeitura.sp.gov.br/cidade/secretarias/upload/transportes/SPTrans/2014/julho/passageiros/Passag-20140727.xls
214,http://www.prefeitura.sp.gov.br/cidade/secretarias/upload/transportes/SPTrans/2014/julho/passageiros/Passag-20140728.xls
